"ID"	"Time"	"Toxin"	"Antibody"	"ToxinDose"	"Microarray"	"Death"	"Inflammation"	"MucosaThickness"	"CongestionExudate"	"ArchitectureErosions"	"SubmucosalEdema"	"TotalPathology"	"MPOPositivesPerField"	"WBC"	"NE"	"LY"	"MO"	"EO"	"BA"	"NE.p"	"LY.p"	"MO.p"	"EO.p"	"BA.p"	"RBC"	"Hb"	"HCT"	"MCV"	"MCH"	"MCHC"	"RDW"	"PLT"	"MPV"	"Ccl11-Serum"	"Lif-Serum"	"Cxcl10-Serum"	"Cxcl1-Serum"	"Ccl2-Serum"	"Ccl3-Serum"	"Ccl4-Serum"	"Cxcl2-Serum"	"Cxcl9-Serum"	"Ccl5-Serum"	"Ccl11-cell"	"Cxcl10-cell"	"Cxcl2-cell"	"Cxcl1-cell"	"Lif-cell"	"Ccl2-cell"	"Ccl3-cell"	"Ccl4-cell"	"Cxcl9-cell"	"Ccl5-cell"	"Cxcl1-qRTPCR"	"Cxcl2-qRTPCR"	"Inflammation.Colon"	"MucosaThickness.Colon"	"CongestionExudate.Colon"	"ArchitectureErosions.Colon"	"SubmucosalEdema.Colon"	"TotalPathology.Colon"
101	6	"Sham"	"None"	0			1.5	2	0	0.5	3	7	"NA"	3.6	1.69	1.7	0.19	0.01	0.01	46.87	47.21	5.31	0.41	0.19	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
102	6	"Sham"	"None"	0			1.5	1.5	0.5	0	3	6.5	"NA"	3.26	2.01	1.12	0.11	0.01	0	61.72	34.4	3.46	0.38	0.05	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
103	6	"Sham"	"None"	0			1	1.5	0	0	2.5	5	"NA"	5.38	2.45	2.63	0.17	0.09	0.03	45.52	48.93	3.22	1.67	0.65	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
104	6	"A"	"None"	5		"Dead at 6h"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	11.52	6.64	3.87	0.59	0.37	0.06	57.64	33.56	5.08	3.18	0.55	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
105	6	"A"	"None"	5			1	2	0.5	1.5	2.5	7.5	"NA"	4.46	3.36	1.04	0.03	0.03	0.01	75.23	23.28	0.67	0.57	0.25	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
106	6	"A"	"None"	5			0.5	1	0.5	1	1	4	"NA"	12.02	7.17	2.92	1.06	0.71	0.16	59.64	24.29	8.86	5.89	1.32	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
107	6	"A"	"None"	5			2	2.5	1	1.5	3	10	"NA"	6.56	4.23	2.11	0.15	0.06	0.01	64.44	32.14	2.33	0.89	0.21	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
108	6	"A"	"None"	10			1.5	2.5	1	2	3	10	"NA"	5.94	4.26	1.51	0.15	0.01	0	71.75	25.44	2.57	0.18	0.07	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
109	6	"A"	"None"	10			1.5	2	1	1	3	8.5	"NA"	7.62	4.27	2.09	0.98	0.24	0.04	56.02	27.47	12.86	3.16	0.49	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
110	6	"A"	"None"	10			1.5	2	1	2	2	8.5	"NA"	10.26	4.05	4.11	1.77	0.27	0.06	39.47	40.04	17.3	2.61	0.58	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
111	6	"A"	"None"	10			2	2.5	1.5	2	3	11	"NA"	7.7	4.49	2.87	0.25	0.05	0.04	58.28	37.28	3.27	0.62	0.54	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
112	6	"A"	"None"	20			2	2.5	1.5	2.5	3	11.5	"NA"	6.34	3.88	2.19	0.26	0.01	0	61.18	34.52	4.12	0.12	0.05	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
