"ID"	"Panel"	"Total particles"	"Singlets"	"Nonepithelial"	"CD45"	"CD3"	"CD11b"	"B220"
501	"A"	50000	44817	10255	3045	1168	"NA"	"NA"
502	"A"	50000	37069	6700	3731	1521	"NA"	"NA"
503	"A"	50000	39836	5823	2813	1174	"NA"	"NA"
504	"A"	50000	35051	7694	2985	1167	"NA"	"NA"
505	"A"	50000	34384	3655	1453	386	"NA"	"NA"
507	"A"	50000	37243	4688	2474	964	"NA"	"NA"
511	"A"	50000	35677	4219	2546	1312	"NA"	"NA"
512	"A"	50000	39012	3935	2120	851	"NA"	"NA"
501	"B"	50000	38097	4248	1810	"NA"	985	526
502	"B"	50000	38616	2803	1749	"NA"	1058	690
503	"B"	50000	38492	2294	1461	"NA"	1069	476
504	"B"	50000	33358	4014	1747	"NA"	924	1073
505	"B"	50000	35739	2779	1139	"NA"	601	649
507	"B"	50000	36675	2521	1518	"NA"	959	922
511	"B"	50000	35647	2654	2129	"NA"	1074	997
512	"B"	50000	36532	1824	1515	"NA"	937	925
